Year,Month,Palestinians Injuries,Palestinians Fatalities,Israelis Injuries,Israelis Fatalities
2000,DECEMBER,781,51,0,8
2000,NOVEMBER,3838,112,0,22
2000,OCTOBER,5984,104,0,10
2000,SEPTEMBER,0,16,0,1
2000,AUGUST,0,0,0,0
2000,JULY,0,0,0,0
2000,JUNE,0,0,0,0
2000,MAY,0,0,0,0
2000,APRIL,0,0,0,0
2000,MARCH,0,0,0,0
2000,FEBRUARY,0,0,0,0
2000,JANUARY,0,0,0,0
2001,DECEMBER,304,67,0,36
2001,NOVEMBER,160,39,0,14
2001,OCTOBER,407,89,0,14
2001,SEPTEMBER,657,59,0,13
2001,AUGUST,502,37,0,26
2001,JULY,394,32,0,10
2001,JUNE,319,13,0,28
2001,MAY,932,46,0,17
2001,APRIL,715,23,0,7
2001,MARCH,927,27,0,8
2001,FEBRUARY,598,19,0,13
2001,JANUARY,471,19,0,6
2002,DECEMBER,185,72,0,7
2002,NOVEMBER,264,46,0,40
2002,OCTOBER,388,66,0,22
2002,SEPTEMBER,353,51,0,13
2002,AUGUST,186,53,0,13
2002,JULY,374,43,0,25
2002,JUNE,299,57,0,57
2002,MAY,181,48,0,29
2002,APRIL,523,246,0,46
2002,MARCH,870,237,0,122
2002,FEBRUARY,429,85,0,29
2002,JANUARY,330,28,0,16
2003,DECEMBER,322,48,0,6
2003,NOVEMBER,106,30,0,4
2003,OCTOBER,289,58,0,27
2003,SEPTEMBER,226,29,0,21
2003,AUGUST,191,26,0,25
2003,JULY,34,4,0,2
2003,JUNE,367,59,0,28
2003,MAY,239,61,0,13
2003,APRIL,303,59,0,6
2003,MARCH,379,85,0,23
2003,FEBRUARY,244,69,0,8
2003,JANUARY,292,60,0,22
2004,DECEMBER,161,61,0,8
2004,NOVEMBER,98,42,0,3
2004,OCTOBER,343,145,0,3
2004,SEPTEMBER,579,112,0,11
2004,AUGUST,287,39,0,17
2004,JULY,251,0,0,0
2004,JUNE,377,59,0,3
2004,MAY,545,113,0,19
